title,description,created on,duration,engagement,fixed job amount (USD),hourly budget,client location,is Payment verified,total spent (USD),total reviews,feedback,experience level,proposal tier,is enterprise,connect price,job url
"Re-Create som synth and pianos sound FX

","I need a producer to help me recreate the sound of a synthesizer, bass, and
keys (attached). I don't need them recorded; I just need to learn how to
recreate them myself using VST plugins or you can send also a preset with
already the effects so that I can play them during live shows. Please, if
possible, recreate these effects using free or low-cost plugins for purchase!
PS - the producer who create these effects lost the project and I want to play
live with Ableton live but I don't know exactly how to re-create with good
quality!

",2023-05-13T21:08:08+00:00,Less than 1 month,,               55.00,,Brazil,Yes,              185.00,3,"4.96 Stars, based on 3 feedbacks",Entry level,10 to 15,False,6,[jobLink](https://www.upwork.com/jobs/~014b251678ca926cab)
"Church audio sound system set up.

","Need stage sounds and outputs set up from down up. Would like you to come by
so I can get an estimate amount of material needed and a labor cost.

",2023-05-01T23:42:16+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,United States,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,2,[jobLink](https://www.upwork.com/jobs/~0128e27158cb63c3fe)
"Mixing board at a church

","Looking for someone that know how to work and train our staff on our church
new mixin board and sound system. The mics are not as clear

",2023-04-18T20:38:46+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,United States,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,2,[jobLink](https://www.upwork.com/jobs/~0132a433655dc771d0)
"Sound designer for a group of teaser videos of animated content for kids.

","Sound designer for a group of teaser videos of animated content for kids. I'm
specifically lookin for a sound designer that can design, mix, and master
background music, sfx, and foley for content for kids between the ages of 2 to
7. The first batch of footage is around are 5 to 6 videos that are around 15
seconds long. This is for a proof of concept project with a low budget but
with the potential to quickly increase as more content is produced
continuously.

",2023-05-05T04:35:41+00:00,Less than 1 month,,               50.00,,United States,Yes,"            4,173.90",9,"5.00 Stars, based on 9 feedbacks",Intermediate,5 to 10,False,6,[jobLink](https://www.upwork.com/jobs/~01947afb07554de83f)
"Music Composition (in English)

","Music composition to prepare four ""ENGLISH"" songs of around 1.5 mins duration
""each"", with DANCE tune/composition as per the instructions (given over a
upWork zoom call). NOTE: Ideal for people to have their own home studio and
having created their own songs earlier. You will need to provide total of 4
completed songs (for a total fixed price of $100) where the vocal part will
then be dubbed from the files that we will provide from our side. Will provide
more info around this during the call. (NOTE: Don't quote over the offered
upWork total rate else will get ignored -- Pls DONT waste each others time)

",2023-05-13T03:03:03+00:00,Less than 1 month,,              100.00,,Australia,Yes,"           70,672.08",443,"4.91 Stars, based on 443 feedbacks",Intermediate,5 to 10,False,6,[jobLink](https://www.upwork.com/jobs/~01d88152ec0a8aa4a7)
"Sound engineer TEL AVIV

","I am looking for a sound engineer with a studio or the ability to travel to
Tel Aviv to record an actress for a podcast. Service to be carried out before
20/04 (1h should be ok) THANKS

",2023-04-17T14:53:38+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,France,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,2,[jobLink](https://www.upwork.com/jobs/~01df2328f7d0556821)
"Sound engineer needed for Pirate sessions in London

","Studio sessions at Pirate, Dalston.. I usually try do 4-8 hour sessions.
Hiphop artist, mainly working with beats either being in MP3 or WAV. Sessions
preferably start in the early evening for weekdays or anytime on weekend (We
can work out availability after)

",2023-03-27T22:47:58+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,United Kingdom,Yes,              193.75,1,"5.00 Stars, based on 1 feedback",Intermediate,Less than 5,False,4,[jobLink](https://www.upwork.com/jobs/~011fe3aaa580bacab1)
"Music Mixer

","Hi there, I want you to recreate the last 40 min of this track below:
https://www.youtube.com/watch?v=dFqtwvFxbeY&t=373s Is this possible? Please
feel free to contact me at christinatrinh1230@gmail.com. I need it by the end
of May please. Thank you! Christina

",2023-05-02T04:44:57+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,United States,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,2,[jobLink](https://www.upwork.com/jobs/~01e028b4b2ad3c8b6a)
"Techno and House Sample Packs

","At our company, we take pride in our ability to create exceptional sound packs
for a wide range of synths, samplers, and genres, with a particular focus on
underground techno and house music. Our sound packs are designed to provide
producers with the tools they need to create cutting-edge tracks that stand
out in a crowded music scene. Currently, we are releasing our sound packs on
Loopmasters and landr, two of the most popular platforms for music producers.
We also work on projects for leading companies in the music industry, such as
Ableton, Splice, Roland, and many others. Our team of talented producers and
sound designers work tirelessly to ensure that our sound packs meet the high
standards of our clients and customers. To continue our growth and success, we
are now seeking to expand our team with new and talented producers/sound
designers who share our passion for creating high-quality sounds and music.
The ideal candidates should have a strong background in music production, with
experience in sound design, drum programming, MIDI programming, and
production. In addition, the ideal candidates should be proficient in using a
range of software and hardware tools, including Native Instrument products
such as Maschine, Battery, Massive, Blocks, FM8, Ableton synths, Diva, Serum,
and Pigments. Timekeeping skills are essential, as we work in a fast-paced and
dynamic environment, and the ability to meet deadlines and keep to a schedule
is critical to our success. Social media and video editing skills are also
valuable as we work to promote our brand and products across various
platforms. The ideal candidates should be able to create engaging and
compelling content that resonates with our audience and helps to drive
engagement and sales. In summary, we are seeking talented and driven
producers/sound designers to join our busy team. If you have a passion for
underground techno and house music, and possess the skills and experience we
are looking for, then we invite you to apply for this exciting opportunity to
work with a dynamic and innovative company at the forefront of music
production and sound design. Strong timekeeping skills Proficiency in using
Native Instrument products such as Maschine, Battery, Massive, Blocks, and FM8
Experience with Ableton synths, Diva, Serum, and Pigments Sound design and
production skills Ability to keep to a schedule and meet deadlines Proficiency
in drum programming and MIDI programming Social media and video editing skills
Passion for underground techno and house music

",2023-05-05T16:46:21+00:00,1 to 3 months,,              200.00,,United Kingdom,Yes,               85.00,1,"5.00 Stars, based on 1 feedback",Expert,Less than 5,False,6,[jobLink](https://www.upwork.com/jobs/~01c2448e5fa6be1650)
"Techno and House Sample Packs

","At our company, we take pride in our ability to create exceptional sound packs
for a wide range of synths, samplers, and genres, with a particular focus on
underground techno and house music. Our sound packs are designed to provide
producers with the tools they need to create cutting-edge tracks that stand
out in a crowded music scene. Currently, we are releasing our sound packs on
Loopmasters and landr, two of the most popular platforms for music producers.
We also work on projects for leading companies in the music industry, such as
Ableton, Splice, Roland, and many others. Our team of talented producers and
sound designers work tirelessly to ensure that our sound packs meet the high
standards of our clients and customers. To continue our growth and success, we
are now seeking to expand our team with new and talented producers/sound
designers who share our passion for creating high-quality sounds and music.
The ideal candidates should have a strong background in music production, with
experience in sound design, drum programming, MIDI programming, and
production. In addition, the ideal candidates should be proficient in using a
range of software and hardware tools, including Native Instrument products
such as Maschine, Battery, Massive, Blocks, FM8, Ableton synths, Diva, Serum,
and Pigments. Timekeeping skills are essential, as we work in a fast-paced and
dynamic environment, and the ability to meet deadlines and keep to a schedule
is critical to our success. Social media and video editing skills are also
valuable as we work to promote our brand and products across various
platforms. The ideal candidates should be able to create engaging and
compelling content that resonates with our audience and helps to drive
engagement and sales. In summary, we are seeking talented and driven
producers/sound designers to join our busy team. If you have a passion for
underground techno and house music, and possess the skills and experience we
are looking for, then we invite you to apply for this exciting opportunity to
work with a dynamic and innovative company at the forefront of music
production and sound design. Strong timekeeping skills Proficiency in using
Native Instrument products such as Maschine, Battery, Massive, Blocks, and FM8
Experience with Ableton synths, Diva, Serum, and Pigments Sound design and
production skills Ability to keep to a schedule and meet deadlines Proficiency
in drum programming and MIDI programming Social media and video editing skills
Passion for underground techno and house music

",2023-04-07T13:40:57+00:00,1 to 3 months,,              200.00,,United Kingdom,Yes,               85.00,1,"5.00 Stars, based on 1 feedback",Expert,Less than 5,False,6,[jobLink](https://www.upwork.com/jobs/~01ab0c506efbdb8208)
"Video editor/Sound designer

","I need a video editor Responsibilities: 1\. How to source copyright footage
from the internet or have a subscription for stock footage. 2\. Use that as
B-rolls with the voice-over I will provide. 3\. Have a strong grip on sound
design and motion graphics. Hoping to hear back from you, Sohaib.

",2023-05-08T21:43:32+00:00,3 to 6 months,,              100.00,,Pakistan,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,4,[jobLink](https://www.upwork.com/jobs/~018356cf1dbbfd8f05)
"Sound editing & optimizing for 1st draft of Video podcast

","Hi, This is the show with existing episodes posted:
https://www.linkedin.com/company/thisiscreativeai/ Here's a link to the new
episode that needs minor sound edits and sound finishing/mastering:
https://drive.google.com/file/d/1Ezf1skNMh_3fxDM4GM2erH6dHzHQevVP/view?usp=share_link
This episode size is 1080x1080. Need a mp4 file of 1080x1080 and a mp3 file as
output. Mp4 final file should be less than 400mb. Mp3 file max 30mb. 'cut
sound' refers to a part where there's an audible 'cut' in the sound between a
sentence / two levels of sound. So this audible 'cut' is what has to be
removed. Please refer to the different time stamps so there's clarity on what
i'm referring to. Besides removing this 'cut sound' - also need the speech
volume to be normalised between the speakers, remove reverb/echo and make it
sound similar or better in post production to the other episodes that are
live. Could not take this forward with the existing audio editor, so need an
urgent turnaround on this. 0.04 - cut sound 1.04 - cut sound 3.24 - 'a'
suddenly goes soft 4.24 - ...differences between - when Ar/VR... - inbetween
those sentences there's a sound, please check that 5.30 - amazing - UI :
between those two words, there's a sound, please check that 6.13 to 6.16 - cut
sounds 6.48 - There's a sound before 'And' 7.07 - cut sound 7.08 - cut sound
7.09 - cut sound 7.58 - cut sound 8.01 - cut sound 9.07 - cut sound 9.38 - cut
sound 10.29 - cut sound 10.31 - cut sound 10.50 - cut sound 11.29 - cut sound
11.34 - cut sound 12.00 - cut sound 12.25 - cut sound 12.31 - cut sound 13.43
/ 44 - cut sound 14.53 - cut sound

",2023-05-15T11:08:17+00:00,Less than 1 month,,               10.00,,India,Yes,              360.00,2,"4.82 Stars, based on 2 feedbacks",Intermediate,Less than 5,False,4,[jobLink](https://www.upwork.com/jobs/~017a37769e82dd2847)
"Use my sound ( song) in your post on TikTok

","Add my audio ( song) to your Tick Tock post in it will feature the song.

",2023-05-13T17:01:15+00:00,Less than 1 month,,                5.00,,Canada,No,                0.00,0,No feedback yet,Entry level,5 to 10,False,2,[jobLink](https://www.upwork.com/jobs/~01f91b2a767b31e361)
"Long term music producer

","I´m artist manager who manage this fresh talent from Finland. We are looking
producer, mixing and mastering professional to help us out. Thype is hiphop
artist who likes to mix old school vibes with fresh things. I really think
that he is amazing talent who can succeed in music business. We are looking a
person for this job who understands our vision. We hope we could figure out
royalties percent for payment rather than upfront payment, because we really
can´t afford to pay upfront. Thype has couple demos wich you can check here
https://drive.google.com/drive/folders/19W0j0j8VS-
hxdx4_I2mhsCvAIAHuz6Kx?usp=share_link

",2023-04-20T20:18:49+00:00,More than 6 months,,                5.00,,Finland,No,                0.00,0,No feedback yet,Intermediate,10 to 15,False,2,[jobLink](https://www.upwork.com/jobs/~017ee1810cb928bccc)
"Looking for Vocal Artist to contribute to original Pop Music.

","Hello! I'm looking for a vocal artist to experiment and contribute to my
music. https://www.instagram.com/long_twins_/ I'm a musician and modular synth
composer based in Portland, Oregon. Music is inspired by 1980's electronic
music like: World Standard https://www.youtube.com/watch?v=aWrrovmA0cg&t=10s
and Arthur Russell
https://www.youtube.com/watch?v=eq5gjfN5lns&list=PLQ0IyI2oEMvnSd9B2ghD7dmswhMbJsFLn&index=219
If you are interest, please send examples of music you've worked on and
recorded at home. Thank you!

",2023-05-04T00:16:49+00:00,Less than 1 month,,              300.00,,United States,Yes,"            3,010.00",8,"5.00 Stars, based on 8 feedbacks",Intermediate,Less than 5,False,6,[jobLink](https://www.upwork.com/jobs/~01693538f39dc1ce83)
"Quick audio remix

","Quick remix of a sound bite adding it on top of a song. Already have the sound
bite. Just need someone to make a clean file I can put on a playlist

",2023-05-14T20:05:42+00:00,Less than 1 month,,               40.00,,United States,No,                0.00,0,No feedback yet,Intermediate,10 to 15,False,4,[jobLink](https://www.upwork.com/jobs/~0187faaf0a5c4f7ae0)
"Need a Mixing Engineer to create professional Audio Mixes

","We are in search for a Mixing Engineer who can create professional audio mixes
for us. As a Mixing Engineer, you should be proficient in using software such
as Ableton Live, Avid Pro Tools, Logic Pro, and have experience in audio
editing, audio engineering, and sound mixing. We expect the mix to take an
experienced audio engineer 8 hours or less. Your responsibilities will include
creating high-quality audio mixes that meet our project requirements, editing
and enhancing audio tracks, and working collaboratively with our team. We
prefer engineers that have experience working with American or European
artists or labels. Experience in Hip Hop, Pop and Electronic genres is
preferred. Experience with cinematic or trailer music is a bonus. We need an
engineer that is able to mix according to various sound references (which we
will provide). Also expect English Proficiency. If this first job is a success
we will have lots of mixing work to follow. Our production company creates
multiple songs per week. To apply please send, in a streaming link, a playlist
of songs that you have mixed (please include songs in our preferred genres).
Please also describe your mixing experience. The budget posted for this job is
the price for the complete mix. If the rate is acceptable and the job is
successful, we can provide a consistent supply of future mixing gigs. The main
deliverables are the Hi Res AIFF or WAV file of the complete mix as well as an
Instrumental and Acapella stem. We also would like sub-mixes (stems) provided
based on our requirements. Also, in your message, tell me who your favorite
current American music artist is :) Thanks for taking the time to read the
entire post.

",2023-05-09T03:30:39+00:00,Less than 1 month,,               20.00,,United States,Yes,              500.00,1,"5.00 Stars, based on 1 feedback",Expert,5 to 10,False,4,[jobLink](https://www.upwork.com/jobs/~0122837b59048ec006)
"Need a Mixing Engineer to create professional Audio Mixes

","We are in search for a Mixing Engineer who can create professional audio mixes
for us. As a Mixing Engineer, you should be proficient in using software such
as Ableton Live, Avid Pro Tools, Logic Pro, and have experience in audio
editing, audio engineering, and sound mixing. We expect the mix to take an
experienced audio engineer 8 hours or less. Your responsibilities will include
creating high-quality audio mixes that meet our project requirements, editing
and enhancing audio tracks, and working collaboratively with our team. We
prefer engineers that have experience working with American or European
artists or labels. Experience in Hip Hop, Pop and Electronic genres is
preferred. Experience with cinematic or trailer music is a bonus. We need an
engineer that is able to mix according to various sound references (which we
will provide). Also expect English Proficiency. If this first job is a success
we will have lots of mixing work to follow. Our production company creates
multiple songs per week. To apply please send, in a streaming link, a playlist
of songs that you have mixed (please include songs in our preferred genres).
Please also describe your mixing experience. The budget posted for this job is
the price for the complete mix. If the rate is acceptable and the job is
successful, we can provide a consistent supply of future mixing gigs. The main
deliverables are the Hi Res AIFF or WAV file of the complete mix as well as an
Instrumental and Acapella stem. We also would like sub-mixes (stems) provided
based on our requirements. Also, in your message, tell me who your favorite
current American music artist is :) Thanks for taking the time to read the
entire post.

",2023-05-09T03:27:44+00:00,Less than 1 month,,               30.00,,United States,Yes,              500.00,1,"5.00 Stars, based on 1 feedback",Expert,5 to 10,False,4,[jobLink](https://www.upwork.com/jobs/~01022b3d5ea0dbfe12)
"Help me program Soundcraft ui24 sound mixer

","i have a ui24 that needs to be programmed. set up band channels, iems, ability
to multitrack record, ability for band members to log in and adjust their own
settings.

",2023-04-25T07:08:43+00:00,Less than 1 month,,               20.00,,Australia,Yes,"            1,933.52",1,"4.85 Stars, based on 1 feedback",Intermediate,Less than 5,False,4,[jobLink](https://www.upwork.com/jobs/~01aa566a2bc7e76891)
"Piano Player to Play Desi Music

","Need a piano player to play Desi music for one hour at an event in the west
village.

",2023-04-26T15:51:35+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,United States,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,2,[jobLink](https://www.upwork.com/jobs/~012f4b447421fe1904)
"Serbian music producer needed

","Hello. I need a Serbian producer, preferably female, who can help me create a
few beats for my debut EP/album. I’m thinking 7 songs (still in the process of
figuring out the concept). I want house, dance, pop, piano, strings, violin,
big chorus moments, sexy dance songs, ballads… My inspirations are Gaga,
Madonna, Beyonce, Tove Lo, Ariana, Mariah… I would need to hear some of your
work first so that I can see what you can do and so that I would be able to
decide whom to work with. Good luck! :) You can also send me your finished
beats and if I like them I will buy them. You can check out my first two songs
below, but I am not sure if that is the direction that I would be leaning
toward or if these will be included in the album:
https://open.spotify.com/artist/7rghRSHOFJS8aMisdMU9Pz?si=j6s_zgAJT56FZAHw8wCWUQ

",2023-04-16T15:42:51+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,$20.00-$40.00,Serbia,Yes,              220.00,6,"4.96 Stars, based on 6 feedbacks",Expert,Less than 5,False,4,[jobLink](https://www.upwork.com/jobs/~0173088d15d7377324)
"Friendship song

","I plan to create a friendship based song to celebrate 10th year batch day. I
dine lyrics writing course so i need a person who make a music for that song.

",2023-05-14T13:35:38+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,India,No,                0.00,0,No feedback yet,Intermediate,5 to 10,False,2,[jobLink](https://www.upwork.com/jobs/~0147d9d9531da17371)
"مصمم في استخراج الاصوات من الفيديوهات /Sounds

","حيد في استخراج الاصوات من الفيديوهات وعمل علي اصلاح الاصوات وتعديل فكره الصوت
من الفيديوهات عملت علي قناه با اليوتيوب وقناه با التيك توك عمل خاص بي وعمل حر
مقابل اجر من المال

",2023-04-17T23:42:39+00:00,3 to 6 months,Less than 30 hrs/week,                0.00,$20.00-$35.00,Egypt,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,6,[jobLink](https://www.upwork.com/jobs/~01383b5b142e3ce277)
"Music producer needed (beats)

","Hello. I need a producer, preferably female, who can help me create a few
beats for my debut EP/album. I’m thinking 7 songs (still in the process of
figuring out the concept). I want house, dance, pop, piano, strings, violin,
big chorus moments, sexy dance songs, ballads… My inspirations are Gaga,
Madonna, Beyonce, Tove Lo, Ariana, Mariah… I would need to hear some of your
work first so that I can see what you can do and so that I would be able to
decide whom to work with. Good luck! :) You can also send me your finished
beats and if I like them I will buy them. You can check out my first two songs
below, but I am not sure if that is the direction that I would be leaning
toward or if these will be included in the album:
https://open.spotify.com/artist/7rghRSHOFJS8aMisdMU9Pz?si=j6s_zgAJT56FZAHw8wCWUQ

",2023-04-17T09:28:27+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,$20.00-$60.00,Serbia,Yes,              220.00,6,"4.96 Stars, based on 6 feedbacks",Expert,Less than 5,False,4,[jobLink](https://www.upwork.com/jobs/~01440d923f1523c348)
"need sound engineer for Saturday 4/29/23 for outdoor event

","need to hire sound engineer to set up 16 channel board and snake for outdoor
concert at private residence on Key Biscayne. unplug band room and set up 10
speakers, amps, mics, mic stands, 4 monitors, gutair amps, mic up drums, 8
loud speakers and 3 bass speakers, lights, smoke machine etc on an outdoor
stage on private property. 1pm to 4pm set up. then sound check at 4;30. ready
at 5pm work with band and DJ for 6pm to 12om party. run the 16 channel board
during the event help move equipment back into basement and band room then
later in night or next day help put band room back together plugging the stuff
back in that comes out of practice room. looking for hourly engineer for this
gig and some other stuff from time to time in Miami area email at
john@unitedrev.net John Devaney

",2023-04-28T00:02:15+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,United States,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,2,[jobLink](https://www.upwork.com/jobs/~017d7cb7c6dee1741f)
"Music video

","I am wanting to shoot a music video while staying in Brazil. I have two
locations already in mind. Please let me know if you’re interested. I am
willing to work with the Director to find scenes and potential models.

",2023-04-20T18:31:32+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,Canada,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,2,[jobLink](https://www.upwork.com/jobs/~014d6eed499799354f)
"Song videoclip

","Am an expert talented and creative individual to produce a song videoclip that
will capture the essence of our music. The project will last for more than 6
months, and the ideal candidate will possess a strong background in audio
production, music production, and sound mixing. The successful candidate will
be responsible for producing a high-quality music video that aligns with our
brand and style. They should be able to work collaboratively with our team and
have excellent communication skills. To be considered for this job, please
submit a detailed proposal outlining your experience in producing music
videos. Please include links to your past completed projects, showcasing your
skills in audio production, music, and sound mixing. We are looking for
someone who can bring their unique perspective and creativity to this project
to help us achieve our vision. Note: Some of the content in this job post may
have been auto-generated using advanced AI.

",2023-04-28T04:13:14+00:00,More than 6 months,,               40.00,,Kenya,No,                0.00,0,No feedback yet,Intermediate,Less than 5,False,4,[jobLink](https://www.upwork.com/jobs/~0185ed5164fc2007ac)
"Tabata Workout Music Composing for Fitness Studio

","We are looking for a Music Producer for a Fitness Studio Client ""Win Studio""
to produce Tabata Music Tracks for Arab Audience ( see below description for 5
Tracks Required) The applicant needs to know Arabic Music and Rythems very
Well and to be able to create a High Motivation and Energized Sound Track to
be used for the Group Workout Tabata 1: Work 20 Rest 10 Tabata 2 : Work 25
Rest 12 Tabata 3 : Work 40 Rest 20 Tabata 4: Work 40 Rest 10 Tabata 5 : Work
50 Rest 20

",2023-04-24T14:24:58+00:00,Less than 1 month,,              100.00,,United States,Yes,"           98,565.32",22,"4.91 Stars, based on 22 feedbacks",Intermediate,5 to 10,False,6,[jobLink](https://www.upwork.com/jobs/~01a55737b568992a26)
"Audio

","I have recorded some nature sound with zoom h6 field recorder, there are too
many bird sounds but in track there are ambiance noise , need an expert who
edit and refined the tracks

",2023-05-13T08:45:23+00:00,3 to 6 months,,               10.00,,Pakistan,No,                0.00,0,No feedback yet,Expert,10 to 15,False,2,[jobLink](https://www.upwork.com/jobs/~017fe160685777c69a)
"audio Cleanup

","I need the ambient sound and the dog's barking to be eliminated.

",2023-05-04T00:44:33+00:00,Less than 1 month,Less than 30 hrs/week,                0.00,,United States,No,                0.00,0,No feedback yet,Intermediate,5 to 10,False,2,[jobLink](https://www.upwork.com/jobs/~01f970d195b6df0131)
"Compose a song for an otome game

","We're seeking a Japanese music composer and lyricist to create the opening
song for an otome game or virtual dating game. If you're also a singer, that
would be a plus, but it's not a requirement. We're looking for a song that
captures the essence of the game and sets the tone for the player's
experience. The example provided, https://youtu.be/rpIsjz-oLOQ, is a good
representation of the type of sound and style we're looking for. In terms of
compensation, the amount listed above is just a rough estimate. We're open to
hearing your proposal for a budget that would work for you. If you're
interested in working with us, please send us some samples of your work and a
proposal for your desired compensation. We're excited to hear what you can
bring to the table!

",2023-05-07T21:14:57+00:00,3 to 6 months,Less than 30 hrs/week,                0.00,$15.00-$37.00,Argentina,No,                0.00,0,No feedback yet,Intermediate,5 to 10,False,6,[jobLink](https://www.upwork.com/jobs/~0111ddf2236af54071)
